"label","id_occupation"
"land-based machinery technician","00c8d1cf-24f2-47d1-9f10-765e1c102811"
"land-based machinery mechanic","00c8d1cf-24f2-47d1-9f10-765e1c102811"
"land-based machinery technicians","00c8d1cf-24f2-47d1-9f10-765e1c102811"
"landbased machinery technician","00c8d1cf-24f2-47d1-9f10-765e1c102811"
"intercity bus driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"private bus operator","00cee175-1376-43fb-9f02-ba3d7a910a58"
"transit bus driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"bus driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"public service vehicle operator","00cee175-1376-43fb-9f02-ba3d7a910a58"
"passenger driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"international bus driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"public bus operator","00cee175-1376-43fb-9f02-ba3d7a910a58"
"touristic bus driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"coach driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"private coach driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"public bus driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"bus operator","00cee175-1376-43fb-9f02-ba3d7a910a58"
"driver of bus","00cee175-1376-43fb-9f02-ba3d7a910a58"
"bus driving operator","00cee175-1376-43fb-9f02-ba3d7a910a58"
"schoolbus driver","00cee175-1376-43fb-9f02-ba3d7a910a58"
"graduate export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"senior export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"international trade compliance manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"international trade manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"senior import manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"import export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"assistant export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"trainee import manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"graduate import manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"graduate import export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"assistant import export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"assistant import manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"senior import export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"customs compliance manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"trainee export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"trainee import export manager in meat and meat products","00fdad73-4551-4e43-b256-1d4a3759db1e"
"housing policy officer","01205776-db8d-4588-a6a6-56d0b9c660a9"
"housing policy development officer","01205776-db8d-4588-a6a6-56d0b9c660a9"
"housing policy analyst","01205776-db8d-4588-a6a6-56d0b9c660a9"
"policy officer","01205776-db8d-4588-a6a6-56d0b9c660a9"
"housing policy researcher","01205776-db8d-4588-a6a6-56d0b9c660a9"
"affordable housing policy officer","01205776-db8d-4588-a6a6-56d0b9c660a9"
"policy officer, planning and housing","01205776-db8d-4588-a6a6-56d0b9c660a9"
"housing policy and strategy officer","01205776-db8d-4588-a6a6-56d0b9c660a9"
"senior housing policy officer","01205776-db8d-4588-a6a6-56d0b9c660a9"
"housing policy advisor","01205776-db8d-4588-a6a6-56d0b9c660a9"
"head chef","01484951-15e6-4b88-a20f-1201868d36a0"
"industrial head chef","01484951-15e6-4b88-a20f-1201868d36a0"
"chef de cuisine","01484951-15e6-4b88-a20f-1201868d36a0"
"kitchen manager","01484951-15e6-4b88-a20f-1201868d36a0"
"executive chef","01484951-15e6-4b88-a20f-1201868d36a0"
"managing partner head chef","01484951-15e6-4b88-a20f-1201868d36a0"
"head of kitchen","01484951-15e6-4b88-a20f-1201868d36a0"
"master Chef","01484951-15e6-4b88-a20f-1201868d36a0"
"sous chef","01484951-15e6-4b88-a20f-1201868d36a0"
"master kitchen manager","01484951-15e6-4b88-a20f-1201868d36a0"
"patron cuisinier","01484951-15e6-4b88-a20f-1201868d36a0"
"master chef","01484951-15e6-4b88-a20f-1201868d36a0"
"nonwoven filament machine operator","0152b59d-5005-470c-9273-ef321477d8dc"
"non-woven filament machine operator","0152b59d-5005-470c-9273-ef321477d8dc"
"non-woven yarn worker","0152b59d-5005-470c-9273-ef321477d8dc"
"non woven yarn worker","0152b59d-5005-470c-9273-ef321477d8dc"
"nonwoven filament machinist","0152b59d-5005-470c-9273-ef321477d8dc"
"nonwoven yarn worker","0152b59d-5005-470c-9273-ef321477d8dc"
"non woven filament machine operator","0152b59d-5005-470c-9273-ef321477d8dc"
"university chancellor","01649ae9-22ee-4dba-83a8-3a2c51fbbe95"
"head of higher education institutions","01649ae9-22ee-4dba-83a8-3a2c51fbbe95"
"rector of higher education","01649ae9-22ee-4dba-83a8-3a2c51fbbe95"
"rector for higher education institutions","01649ae9-22ee-4dba-83a8-3a2c51fbbe95"
"supervisor of installation of insulating materials","0181835d-dd00-49e2-9fc4-e1382a65957f"
"supervisor of insulation materials installation","0181835d-dd00-49e2-9fc4-e1382a65957f"
"insulation supervisor","0181835d-dd00-49e2-9fc4-e1382a65957f"
"supervisor of installation of insulation","0181835d-dd00-49e2-9fc4-e1382a65957f"
"solid wall insulation installation supervisor","0181835d-dd00-49e2-9fc4-e1382a65957f"
"insulation installers supervisor","0181835d-dd00-49e2-9fc4-e1382a65957f"
"cavity wall insulation installation supervisor","0181835d-dd00-49e2-9fc4-e1382a65957f"
"loft insulation installation supervisor","0181835d-dd00-49e2-9fc4-e1382a65957f"
"disassembly planner","01989dd8-36c0-43cc-a82d-2bfc409de9c4"
"dismantling manager","01989dd8-36c0-43cc-a82d-2bfc409de9c4"
"dismantling planner","01989dd8-36c0-43cc-a82d-2bfc409de9c4"
"dismantling engineer","01989dd8-36c0-43cc-a82d-2bfc409de9c4"
"claims handler","01a83071-6533-4675-b2da-f0c6d02669f5"
"contract claims examiner","01a83071-6533-4675-b2da-f0c6d02669f5"
"claims consultant","01a83071-6533-4675-b2da-f0c6d02669f5"
"claims representative","01a83071-6533-4675-b2da-f0c6d02669f5"
"property and casualty insurance claims examiner","01a83071-6533-4675-b2da-f0c6d02669f5"
"claims inspector","01a83071-6533-4675-b2da-f0c6d02669f5"
"insurance claims handler","01a83071-6533-4675-b2da-f0c6d02669f5"
"claims service supervisor","01a83071-6533-4675-b2da-f0c6d02669f5"
"insurance claims consultant","01a83071-6533-4675-b2da-f0c6d02669f5"
"claims examiner","01a83071-6533-4675-b2da-f0c6d02669f5"
"claims processor","01a83071-6533-4675-b2da-f0c6d02669f5"
"insurance claims officer","01a83071-6533-4675-b2da-f0c6d02669f5"
"casualty insurance adjuster","01a83071-6533-4675-b2da-f0c6d02669f5"
