comune,num_residenti,P
Mandatoriccio,2876.0,0.00030644665302929333
Santa Teresa di Riva,9309.0,0.0009919026053719373
Formigara,1102.0,0.00011742149222471533
Borgoratto Alessandrino,622.0,6.627601466767053e-05
Aquila d'Arroscia,174.0,1.8540235614428737e-05
Alcara Li Fusi,2042.0,0.00021758138577392805
Conselve,10239.0,0.0010909969681387117
Ciro Marina,15061.0,0.0016047959114305242
Monterotondo,39683.0,0.004228345803950434
Villar Perosa,4132.0,0.0004402773193035606
Villanova Marchesana,1041.0,0.00011092175445184089
Villachiara,1455.0,0.00015503472884479202
Militello in Val di Catania,7691.0,0.0008194997247733989
Nuraminis,2577.0,0.00027458728263438423
Quarna Sopra,276.0,2.9408649595300755e-05
Lizzanello,11568.0,0.0012326060091247795
Castignano,2917.0,0.00031081532923729095
Sarmede,3126.0,0.0003330849225902542
Comitini,952.0,0.00010143853048813884
Tromello,3855.0,0.000410762116630016
Toro,1430.0,0.00015237090188869592
Casnate con Bernate,4913.0,0.0005234952734120021
Tortora,6031.0,0.000642621614888619
Maserada sul Piave,9339.0,0.0009950991977192526
Re,771.0,8.21524233260032e-05
Fabbriche di Vergemoli,831.0,8.854560802063379e-05
Baceno,914.0,9.738951351487278e-05
Argusto,534.0,5.6899343782212325e-05
Sant'Eusanio del Sangro,2487.0,0.0002649975055924383
Ponte Nizza,837.0,8.918492649009685e-05
Sovico,8203.0,0.0008740549008342467
Torre di Santa Maria,800.0,8.524246259507465e-05
Dorzano,497.0,5.2956879887190126e-05
Greggio,380.0,4.0490169732660456e-05
Telti,2264.0,0.00024123616914406126
Celenza Valfortore,1682.0,0.00017922227760614444
Pau,305.0,3.249868886437221e-05
Forio,16705.0,0.0017799691720634025
Bolzano,103891.0,0.011069905851831126
Quart,3921.0,0.0004177946197941096
Piantedo,1363.0,0.00014523184564635842
Cava de' Tirreni,53578.0,0.005708900826148637
Pazzano,606.0,6.457116541576904e-05
Agira,8430.0,0.0008982424495955991
